,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
0,32,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,10,3,4,55,3,2,4,1,No,12,4,10,2,2,10,7,0,8,No,3
1,47,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,14,4,4,42,3,2,1,2,No,12,4,20,2,3,7,7,1,7,No,3
2,40,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,5,4,4,48,2,3,1,5,Yes,21,3,20,2,3,18,13,1,12,No,4
3,41,Male,Human Resources,Divorced,Human Resources,Manager,Travel_Rarely,10,4,2,73,2,5,4,3,No,15,2,23,2,2,21,6,12,6,No,3
4,60,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,16,4,1,84,3,2,1,8,No,14,4,10,1,3,2,2,2,2,No,3
5,27,Male,Life Sciences,Divorced,Development,Developer,Travel_Frequently,10,2,4,32,3,3,1,1,No,21,3,9,4,2,9,7,1,7,No,4
6,50,Male,Marketing,Married,Sales,Sales Representative,Travel_Rarely,8,4,4,54,3,1,2,7,No,15,4,4,2,3,2,2,2,2,No,3
7,28,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1,2,1,67,1,1,2,7,Yes,13,4,10,4,3,7,7,3,7,Yes,3
8,36,Female,Life Sciences,Married,Development,Developer,Non-Travel,8,3,1,63,4,3,1,9,No,14,1,10,2,3,8,7,0,5,No,3
9,38,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1,3,3,81,3,3,3,4,Yes,14,4,10,4,4,1,0,0,0,No,3
10,44,Male,Medical,Single,Development,Developer,Non-Travel,24,3,1,49,1,1,3,2,No,14,3,9,5,3,5,2,1,4,No,3
11,47,Female,Medical,Divorced,Sales,Sales Executive,Travel_Frequently,3,3,4,49,3,4,3,9,Yes,12,4,28,2,2,22,2,11,13,No,3
12,30,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,27,5,3,99,3,2,4,7,No,23,4,10,2,2,8,7,7,7,No,4
13,29,Male,Life Sciences,Single,Sales,Sales Representative,Travel_Rarely,10,3,3,99,3,1,3,1,No,11,3,1,6,3,1,0,0,0,No,3
14,42,Male,Medical,Divorced,Development,Developer,Travel_Frequently,19,3,3,57,4,1,3,6,Yes,12,4,7,2,3,2,2,2,2,Yes,3
15,34,Female,Medical,Single,Development,Developer,Travel_Rarely,8,2,2,96,3,2,3,3,No,11,4,10,2,3,5,1,4,3,No,3
